DatGeracaoConjuntoDados;SigAgenteFiscalizador;NumAutoInfracao;DatLavraturaAutoInfracao;NomNaturezaFiscalizacao;DscObjetoFiscalizado;CodObjetoFiscalizado;NomAgenteFiscalizado;NumCPFCNPJAgenteFiscalizado;NumProcessoPunitivo;NumProcessoPunitivoANEEL;DatRecebimentoAutoInfracao;DscTipoPenalidade;VlrPenalidade;DtRecebimentoRecurso;DatDecisaoJuizo;DscDecisaoCompletaJuizo;DscAtoJuizo;VlrMultaAposJuizo;DatDecisaoDiretoria;DscDecisaoCompletaDiretoria;DscAtoDiretoria;VlrMultaAposDiretoria;NumTermoEncerramento;DatLavraturaTE;DscEnquadramentoAI;NumTermoNotificacao;NumProcessoFiscalizacao
01/10/2023;ARSESP;0009/2019-ARSESP-SFE;30/09/2019;Verificação de Cumprimento de Determinação;Não se aplica;Não se aplica;ENERGISA Sul-Sudeste - Distribuidora de Energia S/A - ESS;7282377000120;ARSESP-3048-2018;;07/10/2019; Multa;167902,78;17/10/2019;;;;;;Recurso acatado parcialmente;;165536,73;;; Multa do Grupo IV Art. 7º;1006/2018-ARSESP-SFE;ARSESP-3048-2018
01/10/2023;ANEEL;0009/2019-SFG;23/09/2019;1.01.01 - Procedimento da Fase Pré-Obras; Tamanduá-PCH; PCH.PH.SC.030410-7.01;Tamanduá Energia S/A;6112685000144;48500004716201900;;27/09/2019; Multa;67698,68;07/10/2019;11/11/2019;Decisão anterior mantida;4,8532E+16;67698,68;17/12/2019;Decisão anterior mantida;4,8575E+16;67698,68;;; Multa do Grupo III Art. 6º;0014/2019-SFG;4,85E+16
01/10/2023;AGERGS;0009/2020-AGERGS-SFG;04/05/2020;1.02.05 - Procedimento Segurança de Barragens; Toca do Tigre-PCH; PCH.PH.RS.028969-8.01;CJ Hydro - Geração de Energia S/A;11288954000168;000334-39.00/20-8;;04/05/2020; Multa;2017,32;14/05/2020;14/09/2021;Decisão anterior mantida;;2017,32;28/10/2021;Decisão anterior mantida;;2017,32;0005/2022-AGERGS-SFG;09/02/2022; Multa do Grupo II Art. 5º;0010/2019-AGERGS-SFG;001074-39.00/03-8
01/10/2023;ANEEL;0009/2020-SFE;11/03/2020;Obras de Transmissão;Não se aplica;Não se aplica;São João Transmissora de Energia S/A;18314074000168;48500004259201600;;16/03/2020; Multa;52334,09;;;;;;;;;;0007/2020-SFE;15/04/2020; Multa do Grupo III Art. 6º;0030/2019-SFE;4,85E+16
01/10/2023;ANEEL;0009/2020-SFF;08/05/2020;Apoio ao Processo Decisório e Conformidade Regulatória;SFF-Geral;Não se aplica;Força e Luz Coronel Vivida Ltda. - FORCEL;79850574000109;48500000525202000;;22/05/2020; Advertência;0;25/05/2020;;;;;;;;;1037/2020-SFF;02/07/2020;;0024/2020-SFF;4,85E+16
01/10/2023;ANEEL;0009/2020-SFG;24/04/2020;1.02.02 - Procedimento Desempenho UTE Tipo I e II A;Empreendimentos de Geração;Não informado;Enguia Gen PI Ltda.;4735623000163;48500002307202000;;27/04/2020; Multa;780122,62;;;;;;;;;;;; Multa do Grupo III Art. 6º;0034/2020-SFG;4,85E+16
01/10/2023;AGERGS;0009/2021-AGERGS-SFG;16/04/2021;1.02.15 - Demais Obrigações Normativas; Coxilha Seca-EOL; EOL.CV.RS.031487-0.01;Cia. de Geração e Transmissão de Energia Elétrica do Sul do Brasil - Eletrobras Cgt ELETROSUL - CGT;2016507000169;000630-39.00/21-0;;16/04/2021; Multa;43997,48;27/04/2021;06/09/2021;Recurso acatado parcialmente;;;14/12/2021;Recurso acatado parcialmente;;;0002/2022-AGERGS-SFG;11/01/2022; Multa do Grupo III (REN 846/2019) Art. 11;0005/2020-AGERGS-SFG;000675-39.00/20-2
01/10/2023;ARCE;0009/2021-ARCE-SFG;13/12/2021;1.02.02 - Procedimento Desempenho UTE Tipo I e II A; Termoceará-UTE; UTE.GN.CE.028358-4.01;Petróleo Brasileiro S a PETROBRÁS - PETROBRÁS;33000167000101;11849671/2021;;13/12/2021; Multa;2721186,02;;;;;;;;;;0002/2022-ARCE-SFG;02/02/2022; Multa do Grupo IV (REN 846/2019) Art. 12;0004/2021-ARCE-SFG;08299070/2021
01/10/2023;ARSEP;0009/2021-ARSEP-SFG;14/05/2021;1.02.15 - Demais Obrigações Normativas; Ventos de Santo Uriel-EOL; EOL.CV.RN.030828-5.01;Ventos de Santo Uriel S/A;14583703000102;78100100019142000;;26/05/2021; Multa;23012,3;17/06/2021;;;;;;Recurso acatado parcialmente;10076322;;;; Multa do Grupo III (REN 846/2019) Art. 11;0009/2021-ARSEP-SFG;7,81001E+16
01/10/2023;ANEEL;0009/2021-SFE;15/07/2021;Operação e Manutenção;Não se aplica;Não se aplica;Linhas de Xingu Transmissora de Energia S/A - XINGU;10240186000100;48500005180202000;;16/07/2021; Multa;1009121,79;28/07/2021;27/08/2021;Decisão anterior mantida;4,8534E+16;1009121,79;;;;;;; Multa do Grupo I (REN 846/2019) Art. 9º  / Multa do Grupo II (REN 846/2019) Art. 10 / Multa do Grupo III (REN 846/2019) Art. 11 / Multa do Grupo IV (REN 846/2019) Art. 12;0002/2021-SFE;4,85E+16
