CEP|Tipo_Logradouro|Logradouro|Complemento|Local|Bairro|Cidade|cod_cidade|UF|Estado|cod_estado|Latitude|Longitude
21940110|Rua|Manuel Rodrigues|||Jardim Guanabara|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.8147178|-43.1984817
22071010|Travessa|Cristiano Lacorte|||Copacabana|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9782792|-43.1914039
22260007|Rua|São Clemente|- de 201 a 307 - lado ímpar||Botafogo|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9495895|-43.1888189
22260162|Rua|do Noturno|||Botafogo|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9068467|-43.1728965
22291020|Rua|Urandi|||Urca|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9521697|-43.1689737
22410002|Rua|Visconde de Pirajá|- de 340 ao fim - lado par||Ipanema|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9842253|-43.2049725
22461010|Rua|Visconde da Graça|||Jardim Botânico|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9635205|-43.2182946
22621070|Rua|General Sidônio Dias Correia|||Barra da Tijuca|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-23.0106110|-43.3118788
22630010|Avenida|Lúcio Costa|- de 3102 a 3604 - lado par||Barra da Tijuca|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-23.0112665|-43.3263998
22630070|Rua|Jornalista Pierre Plancher|||Barra da Tijuca|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-23.0087511|-43.3384908
22641506|Rua|Pau Brasil|||Itanhangá|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9885439|-43.3071846
22710245|Rua|Macembu|- lado par||Taquara|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9266437|-43.3799472
22710365|Rua|Rui de Andrade Pinto|||Taquara|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9350647|-43.3704297
22713164|Rua|Cândido Ferreira de Souza|||Taquara|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9295790|-43.3904986
22713210|Rua|Frei Rodovalho|||Jacarepaguá|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9348158|-43.3838328
22720010|Estrada|do Rio Grande|- até 2811 - lado ímpar||Taquara|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9183811|-43.3958659
22723018|Estrada|da Boiuna|- de 692 ao fim - lado par||Taquara|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9152058|-43.4011526
22725640|Rua|São Calisto|||Tanque|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9129788|-43.3721369
22750053|Rua|Comandante Rúbens Silva|- de 453 ao fim - lado ímpar||Freguesia (Jacarepaguá)|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9394536|-43.3367583
22750065|Rua|José Lewgoy|||Anil|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9497608|-43.3302723
