id_bairro|bairro|id_cidade
1029|Henrique Jorge|1347
1032|Jangurussu|1347
1037|Lagoa Redonda|1347
1040|Meireles|1347
1041|Messejana|1347
1042|Mondubim|1347
1046|Mucuripe|1347
1051|Passaré|1347
1052|Pici|1347
1054|Prefeito José Walter|1347
1055|Jardim das Oliveiras|1347
1057|Salinas|1347
1058|Serrinha|1347
1059|São João do Tauape|1347
1060|Varjota|1347
1061|Vicente Pinzon|1347
1065|Vila Velha|1347
1072|Pio XII|1451
1080|Triângulo|1451
1081|Acaracuzinho|1486
1094|Jardim Bandeirantes|1486
1097|Jereissati I|1486
1107|Cidade Nova|1486
1115|Dom José|1722
1116|Centro|1722
1118|Doutor Juvêncio de Andrade|1722
1128|Asa Norte|1778
1129|Asa Sul|1778
1168|Zona Cívico-Administrativa|1778
1172|Setor Central (Gama)|1778
1177|Setor Sul (Gama)|1778
1181|Taguatinga Centro (Taguatinga)|1778
1182|Taguatinga Norte (Taguatinga)|1778
1183|Taguatinga Sul (Taguatinga)|1778
1185|Ceilândia Norte (Ceilândia)|1778
1186|Ceilândia Sul (Ceilândia)|1778
1189|Setor Sul (Brazlândia)|1778
1192|Vila São José (Brazlândia)|1778
1193|Guará I|1778
1194|Guará II|1778
1197|Zona Industrial (Guará)|1778
1198|Metropolitana (Núcleo Bandeirante)|1778
1199|Núcleo Bandeirante|1778
1200|Setor de Indústrias Bernardo Sayão (Núcleo Bandeir|1778
1201|Setor de Mansões Park Way|1778
1206|Sobradinho|1778
1209|Setor Residencial Mestre D'Armas (Planaltina)|1778
1211|Jardim Roriz (Planaltina)|1778
1221|Setor Residencial Leste (Planaltina)|1778
1223|Setor Tradicional (Planaltina)|1778
1224|Vale do Amanhecer (Planaltina)|1778
1228|Samambaia Norte (Samambaia)|1778
1229|Samambaia Sul (Samambaia)|1778
1231|Santa Maria|1778
1234|Cruzeiro Novo|1778
1235|Cruzeiro Velho|1778
1236|Setor Sudoeste|1778
1237|Paranoá|1778
1238|Recanto das Emas|1778
1239|Setor de Habitações Individuais Sul|1778
1240|Setor de Habitações Individuais Norte|1778
1241|Candangolândia|1778
1242|Riacho Fundo I|1778
1243|Riacho Fundo II|1778
1250|Setor Residencial Oeste (São Sebastião)|1778
1255|Aeroporto|1839
1257|Alto Amarelo|1839
1267|Basiléia|1839
1340|Zumbi|1839
1344|Bela Aurora|1844
1354|Cariacica Sede|1844
1363|Flexal I|1844
1371|Itanguá|1844
1372|Itapemirim|1844
1375|Jardim Botânico|1844
1385|Nova Esperança|1844
1386|Nova Rosa da Penha|1844
1391|Operário|1844
1392|Oriente|1844
1393|Padre Gabriel|1844
1396|Piranema|1844
1401|Porto de Santana|1844
1407|Retiro Saudoso|1844
1410|Rosa da Penha|1844
1411|Santa Bárbara|1844
1414|Morada de Santa Fé|1844
1422|São Conrado|1844
1424|São Geraldo|1844
1425|São João Batista|1844
1429|Tabajara|1844
1431|Vale dos Reis|1844
1443|Vila Prudêncio|1844
1455|Columbia|1847
1456|Carlos Germano Naumann|1847
1457|Esplanada|1847
1462|Lacê|1847
1467|Morada do Sol|1847
1477|Santa Helena|1847
1484|São Judas Tadeu|1847
1490|Vila Lenira|1847
1491|Vila Nova|1847
1507|Ipiranga|1879
1509|Jabaraí|1879
1520|Muquiçaba|1879
1530|Portal|1879
1532|Santa Mônica|1879
1548|Aviso|1925
1551|Centro|1925
1559|Movelar|1925
1562|Novo Horizonte|1925
1565|Planalto|1925
1570|André Carloni|2028
1573|Barro Branco|2028
1580|Carapina Grande|2028
1584|Centro da Serra|2028
1593|Feu Rosa|2028
1601|Jardim Bela Vista|2028
1602|Jardim Carapina|2028
1603|Jardim da Serra|2028
1608|José de Anchieta|2028
1612|Manguinhos|2028
1631|Praia de Carapebus|2028
1639|São Judas Tadeu|2028
1654|Alecrim|2044
1655|Alvorada|2044
1660|Ataíde|2044
1663|Barra do Jucu|2044
1664|Barramares|2044
1670|Centro de Vila Velha|2044
1677|Cobilândia|2044
1680|Cristóvão Colombo|2044
1682|Divino Espírito Santo|2044
1684|Glória|2044
1690|Ilha das Flores|2044
1736|Rio Marinho|2044
1741|Santa Inês|2044
1742|Santa Mônica|2044
1747|São Torquato|2044
1751|Soteco|2044
1754|Vale Encantado|2044
1760|Ariovaldo Favalessa|2048
1765|Bento Ferreira|2048
1768|Caratoíra|2048
1775|Forte São João|2048
1784|Ilha de Santa Maria|2048
1788|Itararé|2048
1796|Maria Ortiz|2048
1798|Mata da Praia|2048
1800|Piedade|2048
1803|Jesus de Nazareth|2048
1807|Nova Palestina|2048
1810|da Penha|2048
1816|do Quadro|2048
1819|Resistência|2048
1822|Santa Cecília|2048
1824|Santa Lúcia|2048
1827|Santa Tereza|2048
1837|Tabuazeiro|2048
1850|Boa Vista|2065
1861|Conjunto Mirage|2065
1866|Frei Eustáquio|2065
1867|Gran Ville|2065
1889|Jardim Nações Unidas|2065
1895|Jardim Santana|2065
1899|JK Parque Industrial Nova Capital|2065
1901|Jundiaí|2065
1907|Lourdes|2065
1918|Parque Residencial Ander|2065
1923|Recanto do Sol|2065
1927|São Carlos|2065
1948|Vila dos Sargentos|2065
1994|Chácaras São Pedro|2069
1997|Cidade Vera Cruz|2069
2006|Conjunto Mabel|2069
2016|Goiânia Park Sul|2069
2021|Itapoã|2069
2028|Jardim Bonança|2069
2029|Jardim Buriti Sereno|2069
2034|Jardim Cristal|2069
2065|Setor Pampulha|2069
2075|Jardim São Conrado|2069
2077|Jardim Transbrasiliano|2069
2093|Parque Hayala|2069
2098|Parque Karajá|2069
2100|Parque Montreal|2069
2105|Parque Trindade|2069
2114|Residencial Norte Sul|2069
2119|Rosa dos Ventos|2069
2158|Vila Maria|2069
2169|Villasul|2069
2180|Loteamento Jardim Paraíso|2125
2214|Araguaia Park|2174
2217|Capuava|2174
2221|Chácara do Governador|2174
2248|Cidade Jardim|2174
2264|Condomínio Parque dos Cisnes|2174
2271|Conjunto Residencial Aruanã I|2174
2277|Setor Castelo Branco|2174
2287|Conjunto Primavera|2174
2298|Conjunto Vera Cruz|2174
2300|Esplanada do Anicuns|2174
2301|Setor Faiçalville|2174
2303|Floresta|2174
2309|Setor Goiânia 2|2174
2312|Industrial Mooca|2174
2315|Jardim América|2174
2322|Jardim Brasil|2174
2337|Jardim Europa|2174
2339|Jardim Goiás|2174
2340|Jardim Guanabara|2174
2352|Jardim Mirabel|2174
2367|Jardim Vila Boa|2174
2391|Parque Atheneu|2174
2396|Parque das Flores|2174
2400|Parque Eldorado Oeste|2174
2403|Parque Industrial João Braz|2174
